State,Year,Population,Drivers,Vehicles
New York,2013,19626488,11210783,10674140
North Carolina,2013,9846717,6822902,7813850
North Dakota,2013,723149,513838,845109
Ohio,2013,11579692,8030421,10360370
Oklahoma,2013,3853891,2418307,3460010
Oregon,2013,3924110,2773373,3603830
Pennsylvania,2013,12779538,8896590,10461110
Rhode Island,2013,1055560,749232,853152
South Carolina,2013,4766469,3536404,3986570
South Dakota,2013,842751,603643,1015170
Tennessee,2013,6496943,4605100,5451930
Texas,2013,26479646,15447273,20171140
Utah,2013,2898773,1661219,2060510
Vermont,2013,626603,543057,611789
Virginia,2013,8255861,5602765,7051020
Washington,2013,6966252,5301630,6392840
West Virginia,2013,1854768,1177136,1453400
Wisconsin,2013,5738012,4171427,5338760
Wyoming,2013,582620,421473,830539
Alabama,2014,4843737,3881542,5366840
Alaska,2014,737075,531744,800433
Arizona,2014,6732873,4881801,5588010
Arkansas,2014,2968759,2111873,2778660
California,2014,38586706,24813346,28686650
Colorado,2014,5352637,3883362,4820620
Connecticut,2014,3595697,2542588,2866460
Delaware,2014,933131,732349,957669
District of Columbia,2014,663603,419896,334331
Florida,2014,19853880,13898347,15504810
Georgia,2014,10071204,6650434,8155110
Hawaii,2014,1415335,902639,1393260
Idaho,2014,1632248,1128497,1762690
Illinois,2014,12885092,8373565,10393500
Indiana,2014,6596019,4448099,6012600
Iowa,2014,3110643,2227950,3596530
Kansas,2014,2901861,2021271,2542680
Kentucky,2014,4416992,3004919,4148720
Louisiana,2014,4645938,3312630,3886930
Maine,2014,1331217,1018918,1194660
Maryland,2014,5960064,4142997,4052090
Massachusetts,2014,6764864,4765586,4994440
Michigan,2014,9932033,7046433,8126340
Minnesota,2014,5452665,3357468,5223190
Mississippi,2014,2991892,1977679,2067810
Missouri,2014,6059130,4295224,5332900
Montana,2014,1022657,768703,1585830
Nebraska,2014,1879955,1383693,1947630
Nevada,2014,2818935,1796443,2240500
New Hampshire,2014,1334257,1071963,1310190
New Jersey,2014,8867277,6152634,6874100
New Mexico,2014,2090236,1444857,1930710
New York,2014,19653431,11318198,10903620
North Carolina,2014,9937295,7025333,7876030
North Dakota,2014,738736,527541,870731
Ohio,2014,11606573,7915907,10453360
Oklahoma,2014,3879187,2451972,3517810
Oregon,2014,3965447,2785446,3417960
Pennsylvania,2014,12792392,8915641,10504760
Rhode Island,2014,1056511,748337,864762
South Carolina,2014,4826858,3617535,4017610
South Dakota,2014,849670,609908,1032710
Tennessee,2014,6544617,4613166,5495650
Texas,2014,26963092,15648733,20877030
Utah,2014,2938327,1425703,2150570
Vermont,2014,625693,545312,612437
Virginia,2014,8315430,5769063,7160100
Washington,2014,7057531,5401139,6405480
West Virginia,2014,1850569,1171907,1553190
Wisconsin,2014,5753199,4188194,5340160
Wyoming,2014,583159,423987,820107
Alabama,2015,4854803,3907038,5400419
Alaska,2015,738430,533227,815122
Arizona,2015,6832810,4978762,5630647
Arkansas,2015,2979732,2119578,2772214
California,2015,38904296,25532920,29424012
Colorado,2015,5454328,3974521,5005172
Connecticut,2015,3588561,2566673,2841764
Delaware,2015,942065,742524,964316
District of Columbia,2015,677014,455602,322929
Florida,2015,20219111,14262715,16105008
Georgia,2015,10183353,6906191,8137621
Hawaii,2015,1422999,909797,1242319
Idaho,2015,1652495,1135009,1854019
Illinois,2015,12859585,8462193,10595254
Indiana,2015,6611442,4467848,6045114
Iowa,2015,3122541,2224130,3636898
Kansas,2015,2910717,2028657,2634856
Kentucky,2015,4429126,3021266,4151982
Louisiana,2015,4666998,3357091,3901432
Maine,2015,1329098,1019879,1104001
Maryland,2015,5988528,4185752,4135158
Massachusetts,2015,6797484,5040662,5069601
Michigan,2015,9934483,7104484,8294108
Minnesota,2015,5484002,3351430,5281269
Mississippi,2015,2990231,1988396,2068853
Missouri,2015,6075411,4213302,5624005
Montana,2015,1031495,781427,1645227
Nebraska,2015,1892059,1394301,1981296
Nevada,2015,2868531,1835511,2316056
New Hampshire,2015,1337480,1074766,1296137
New Jersey,2015,8870312,6179318,5938585
New Mexico,2015,2090071,1467782,1823445
New York,2015,19657321,11689839,10638765
North Carolina,2015,10037218,7160621,7928973
North Dakota,2015,755537,545027,890803
Ohio,2015,11622315,7923439,10557323
Oklahoma,2015,3910518,2621733,2988512
Oregon,2015,4018542,2808548,3607482
Pennsylvania,2015,12789838,8942967,10598694
Rhode Island,2015,1056886,745470,875097
South Carolina,2015,4896006,3683824,4162651
South Dakota,2015,854663,655707,1082289
Tennessee,2015,6595354,4621401,5612123
Texas,2015,27468531,15879876,21864841
Utah,2015,2983626,1913564,2229193
Vermont,2015,625810,548799,655347
Virginia,2015,8367303,5820209,7238905
Washington,2015,7167287,5516134,6725467
West Virginia,2015,1843332,1167346,1613345
Wisconsin,2015,5762927,4194759,5466581
Wyoming,2015,586389,422450,814989
Alabama,2016,4866824,3943082,5468301
Alaska,2016,742575,534585,794614
Arizona,2016,6944767,5082305,5786891
Arkansas,2016,2991815,2391103,2808138
California,2016,39149186,26199436,30221033
Colorado,2016,5543844,4066580,5116341
Connecticut,2016,3579830,2611007,2841842
Delaware,2016,949989,756328,1003840
District of Columbia,2016,687576,489831,337100
Florida,2016,20627237,14675160,16600317
Georgia,2016,10308442,6975900,8239779
Hawaii,2016,1428885,931703,1231728
Idaho,2016,1684036,1160922,1842245
Illinois,2016,12821709,8514644,10277182
Indiana,2016,6637898,4553259,6140530
Iowa,2016,3133210,2245640,3676290
Kansas,2016,2912977,2030025,2649736
Kentucky,2016,4440306,3031447,4224788
Louisiana,2016,4681346,3395095,3904962
Maine,2016,1332348,1021332,1107674
Maryland,2016,6007014,4264875,4178873
Massachusetts,2016,6827280,5040662,5069559
Michigan,2016,9954117,7074674,8332895
Minnesota,2016,5525360,3377910,5358317
Mississippi,2016,2990595,2018862,2067222
Missouri,2016,6091384,4249579,5684525
Montana,2016,1042137,797145,1794732
Nebraska,2016,1906483,1404479,1951766
Nevada,2016,2919555,1872376,2398659
New Hampshire,2016,1343694,1096234,1322682
New Jersey,2016,8873584,6238436,5940997
New Mexico,2016,2092555,1521785,1823961
New York,2016,19636391,11947568,11122392
North Carolina,2016,10161802,7267042,8270643
North Dakota,2016,756114,555935,894954
Ohio,2016,11640060,7974951,10686057
Oklahoma,2016,3928143,2498178,3737405
Oregon,2016,4093271,2855746,3811706
Pennsylvania,2016,12788468,8996815,10748822
Rhode Island,2016,1057816,753143,876228
South Carolina,2016,4963031,3746681,4324423
South Dakota,2016,863693,622663,1246359
Tennessee,2016,6651277,5197904,5709923
Texas,2016,27914064,15879876,21766166
Utah,2016,3044241,1960366,2317282
Vermont,2016,624366,553670,615950
Virginia,2016,8417651,5912048,7301081
Washington,2016,7299961,5635715,7047689
West Virginia,2016,1832435,1159348,1704825
Wisconsin,2016,5775170,4206770,5564429
Wyoming,2016,585243,421098,855230
Alabama,2017,4877989,3954378,5056073
Alaska,2017,740983,534585,804505
Arizona,2017,7048088,5164966,5964434
Arkansas,2017,3003855,2417464,2833697
California,2017,39337785,26777132,30795141
Colorado,2017,5617421,4156138,5259960
Connecticut,2017,3575324,2586994,2826350
Delaware,2017,957942,770512,970733
District of Columbia,2017,697079,521056,346016
Florida,2017,20977089,15076358,16959269
Georgia,2017,10417031,7060344,8442325
Hawaii,2017,1425763,951008,1259541
Idaho,2017,1719745,1190367,1835903
Illinois,2017,12779893,8529404,10890760
Indiana,2017,6662068,4553584,6170034
Iowa,2017,3143734,2246829,3750077
Kansas,2017,2910892,2029869,2717873
Kentucky,2017,4455590,3019008,4293205
Louisiana,2017,4673673,3425656,3906812
Maine,2017,1335743,1032703,1094388
Maryland,2017,6028186,4329503,4357598
