State,Year,Population,Drivers,Vehicles
Rhode Island,2019,1058158,761046,868942
Rhode Island,2020,1057125,,
South Carolina,2009,,3268498,3614400
South Carolina,2010,4635846,3337247,3660880
South Carolina,2011,4672655,3408318,3827210
South Carolina,2012,4719027,3455931,3896830
South Carolina,2013,4766469,3536404,3986570
South Carolina,2014,4826858,3617535,4017610
South Carolina,2015,4896006,3683824,4162651
South Carolina,2016,4963031,3746681,4324423
South Carolina,2017,5027102,3810962,4404100
South Carolina,2018,5091702,3846069,4457519
South Carolina,2019,5157702,3877968,4516143
South Carolina,2020,5218040,,
South Dakota,2009,,602165,926168
South Dakota,2010,816193,602275,925548
South Dakota,2011,823740,603258,995423
South Dakota,2012,833859,606779,1003570
South Dakota,2013,842751,603643,1015170
South Dakota,2014,849670,609908,1032710
South Dakota,2015,854663,655707,1082289
South Dakota,2016,863693,622663,1246359
South Dakota,2017,873732,628506,1258356
South Dakota,2018,879386,638428,1269415
South Dakota,2019,887127,638428,1280969
South Dakota,2020,892717,,
Tennessee,2009,,4476539,5139660
Tennessee,2010,6355518,4418210,5113910
Tennessee,2011,6400298,4543759,5302340
Tennessee,2012,6455752,4573871,5392660
Tennessee,2013,6496943,4605100,5451930
Tennessee,2014,6544617,4613166,5495650
Tennessee,2015,6595354,4621401,5612123
Tennessee,2016,6651277,5197904,5709923
Tennessee,2017,6714748,5377653,5800489
Tennessee,2018,6778180,5422429,5770874
Tennessee,2019,6830325,5422429,5817887
Tennessee,2020,6886834,,
Texas,2009,,15374063,18208170
Texas,2010,25241897,15157650,17193560
Texas,2011,25645504,15122518,19617060
Texas,2012,26084120,15252192,20238120
Texas,2013,26479646,15447273,20171140
Texas,2014,26963092,15648733,20877030
Texas,2015,27468531,15879876,21864841
Texas,2016,27914064,15879876,21766166
Texas,2017,28291024,17099340,22130765
Texas,2018,28624564,17370383,22186241
Texas,2019,28986794,17822760,23007146
Texas,2020,29360759,,
Utah,2009,,1720015,2453880
Utah,2010,2775413,1659835,2654720
Utah,2011,2814797,1747487,1883410
Utah,2012,2854146,1788822,1981340
Utah,2013,2898773,1661219,2060510
Utah,2014,2938327,1425703,2150570
Utah,2015,2983626,1913564,2229193
Utah,2016,3044241,1960366,2317282
Utah,2017,3103540,1995377,2355773
Utah,2018,3155153,2030644,2372800
Utah,2019,3203383,2121099,2430275
Utah,2020,3249879,,
Vermont,2009,,506977,557370
Vermont,2010,625886,513481,566650
Vermont,2011,627197,521666,605054
Vermont,2012,626361,529501,606941
Vermont,2013,626603,543057,611789
Vermont,2014,625693,545312,612437
Vermont,2015,625810,548799,655347
Vermont,2016,624366,553670,615950
Vermont,2017,625132,560247,621608
Vermont,2018,624802,564892,619694
Vermont,2019,624046,564894,620428
Vermont,2020,623347,,
Virginia,2009,,5347745,6301840
Virginia,2010,8024004,5402347,6148790
Virginia,2011,8102437,5467045,6998390
Virginia,2012,8187456,5538480,7116790
Virginia,2013,8255861,5602765,7051020
Virginia,2014,8315430,5769063,7160100
Virginia,2015,8367303,5820209,7238905
Virginia,2016,8417651,5912048,7301081
Virginia,2017,8471011,5926430,7514484
Virginia,2018,8510920,5929031,7604646
Virginia,2019,8556642,5888196,7647692
Virginia,2020,8590563,,
Washington,2009,,5026521,5580670
Washington,2010,6743009,5106367,4682790
Washington,2011,6827479,5178789,5880790
Washington,2012,6898599,5227889,5849950
Washington,2013,6966252,5301630,6392840
Washington,2014,7057531,5401139,6405480
Washington,2015,7167287,5516134,6725467
Washington,2016,7299961,5635715,7047689
Washington,2017,7427951,5768281,7256196
Washington,2018,7526793,5909967,7152413
Washington,2019,7614024,5711136,7377028
Washington,2020,7693612,,
West Virginia,2009,,1328992,1412480
West Virginia,2010,1854265,1206026,1435520
West Virginia,2011,1856606,1198837,1458220
West Virginia,2012,1857446,1241586,1458800
West Virginia,2013,1854768,1177136,1453400
West Virginia,2014,1850569,1171907,1553190
West Virginia,2015,1843332,1167346,1613345
West Virginia,2016,1832435,1159348,1704825
West Virginia,2017,1818683,1148786,1691237
West Virginia,2018,1805953,1136775,1693719
West Virginia,2019,1795263,1130389,1668113
West Virginia,2020,1784787,,
Wisconsin,2009,,4105142,4874320
Wisconsin,2010,5690538,4133377,4967780
Wisconsin,2011,5705840,4147470,5244200
Wisconsin,2012,5720825,4056649,5215290
Wisconsin,2013,5738012,4171427,5338760
Wisconsin,2014,5753199,4188194,5340160
Wisconsin,2015,5762927,4194759,5466581
Wisconsin,2016,5775170,4206770,5564429
Wisconsin,2017,5793147,4234793,5596635
Wisconsin,2018,5809319,4288171,5683061
Wisconsin,2019,5824581,4296646,5666400
Wisconsin,2020,5832655,,
Wyoming,2009,,410813,652324
Wyoming,2010,564531,419466,663253
Wyoming,2011,567491,421928,798296
Wyoming,2012,576656,421580,799405
Wyoming,2013,582620,421473,830539
Wyoming,2014,583159,423987,820107
Wyoming,2015,586389,422450,814989
Wyoming,2016,585243,421098,855230
Wyoming,2017,579994,422465,819257
Wyoming,2018,579054,419256,837024
Wyoming,2019,580116,424115,843671
Wyoming,2020,582328,,
